SampleGeneratedData,,,,,,,,,,,,,,,,,
SerialNumber,Test Pass/Fail Status,errCode,TesterID,timeStamp,SOCKET,Vf_LED0_10mA_V,Vf_LED0_20mA_V,Vf_LED1_20mA_V,Vf_LED2_20mA_V,LED0_Ir_20mA_nA,Vj_LED0_20mA_V,NearFieldTest_LED0_5mA_nA,NearFieldTest_LED0_20mA_nA,NearFieldTest_LED1_20mA_nA,NearFieldTest_LED2_Near_20mA_nA,FarFieldTest_LED1_20mA_nA,FarFieldTest_LED2_20mA_nA
VK30P2DA429514N6G,PASS,0,A1_golden,660860301.9,A1,0.5782,0.9064,1.2143,0.4407,-0.0449,0.7791,59.2113,140.5232,275.4866,169.2881,193.5961,106.4195
K25Y214G9003PAN68,PASS,0,A1_golden,660860375.1,A1,0.5764,0.909,1.2087,0.4389,-0.03,0.7787,59.9688,142.9877,278.3661,170.739,194.8827,107.2986
K25Y214G9003PAN68,PASS,0,A1_golden,660860432.4,A1,0.5763,0.9088,1.2106,0.4388,-0.0442,0.7789,59.7228,142.7631,278.7483,170.2322,194.994,107.4451
K25Y214G9003PAN68,PASS,0,A1_golden,660860490.6,A1,0.5762,0.9086,1.2094,0.4388,-0.0396,0.7785,59.3191,142.6166,278.4935,170.1778,194.7713,107.1457
65QK31NP4ATG09252,PASS,0,A1_golden,660860565.2,A1,0.5772,0.9046,1.2128,0.4399,-0.0264,0.7769,57.6487,137.416,274.5947,164.6091,194.0538,106.2793
65QK31NP4ATG09252,PASS,0,A1_golden,660860623.2,A1,0.5771,0.9042,1.2101,0.4399,-0.0377,0.7774,57.4362,137.3669,274.9515,164.5444,193.7445,105.9799
65QK31NP4ATG09252,PASS,0,A1_golden,660860682.1,A1,0.5771,0.9041,1.2113,0.4398,-0.0316,0.777,57.6813,137.411,274.5183,164.2239,193.8806,106.394
9K4059PG3D16S2N62,PASS,0,A1_golden,660860754.9,A1,0.5776,0.9159,1.2152,0.4398,-0.0422,0.7795,60.7036,145.7822,282.7999,174.1448,198.0621,108.8657
9K4059PG3D16S2N62,PASS,0,A1_golden,660860813.2,A1,0.5774,0.9157,1.216,0.4397,-0.0258,0.7781,60.6193,145.763,282.5451,174.2804,198.0744,108.9677
9K4059PG3D16S2N62,PASS,0,A1_golden,660860871.4,A1,0.5774,0.9157,1.2167,0.4397,-0.0377,0.7778,60.8208,145.834,282.3158,173.783,198.359,109.0632
A3FGP94N056K212WX,PASS,0,A1_golden,660860943.8,A1,0.5761,0.908,1.2119,0.4384,-0.0346,0.7794,60.0747,143.3685,278.0603,172.5095,195.3528,107.082
A3FGP94N056K212WX,PASS,0,A1_golden,660861002.1,A1,0.576,0.9079,1.2116,0.4384,-0.0222,0.7799,60.0021,143.3171,278.0348,171.9171,195.6621,107.2413
A3FGP94N056K212WX,PASS,0,A1_golden,660861059.9,A1,0.576,0.9078,1.2121,0.4384,-0.0341,0.7767,60.472,143.2806,277.3978,172.1373,195.526,107.4133
61P94059YZA3KG22N,PASS,0,A1_golden,660861132.2,A1,0.5765,0.9096,1.2118,0.4387,-0.0311,0.7787,60.253,143.6958,274.7476,171.8155,192.5074,106.1392
61P94059YZA3KG22N,PASS,0,A1_golden,660861190.2,A1,0.5763,0.9095,1.2086,0.4387,-0.0277,0.7789,60.2267,143.4028,274.4928,171.7499,192.2229,105.7888
61P94059YZA3KG22N,PASS,0,A1_golden,660861248,A1,0.5763,0.9092,1.2116,0.4387,-0.0404,0.7785,59.7092,143.0928,274.3399,171.5635,192.3466,105.7633
63A9304NP2125Y5KG,PASS,0,A1_golden,660861320.6,A1,0.5764,0.9087,1.2071,0.4387,-0.0245,0.7782,60.37,145.0463,277.8819,173.4149,195.3033,107.4642
63A9304NP2125Y5KG,PASS,0,A1_golden,660861378.9,A1,0.5763,0.9084,1.2094,0.4386,-0.0328,0.7781,60.2589,144.8378,278.0093,173.1692,195.328,107.4133
63A9304NP2125Y5KG,PASS,0,A1_golden,660861437.4,A1,0.5763,0.9085,1.2075,0.4386,-0.0358,0.7777,60.2706,145.0765,278.0603,173.788,195.526,107.4388
429G9P2DVN30356K1,PASS,0,A1_golden,660861509.9,A1,0.5778,0.9183,1.2158,0.4404,-0.0273,0.7781,60.8414,146.1442,285.6285,174.4852,200.0415,110.1016
429G9P2DVN30356K1,PASS,0,A1_golden,660861567.9,A1,0.5777,0.9182,1.2144,0.4403,-0.0314,0.7771,61.0076,146.2042,285.4501,174.7431,199.8311,109.6111
429G9P2DVN30356K1,PASS,0,A1_golden,660861626.1,A1,0.5777,0.9178,1.2168,0.4403,-0.0284,0.7789,60.8349,146.5172,285.9597,175.2365,199.8311,110.1399
952X326K410NXGAPE,PASS,0,A1_golden,660861699.7,A1,0.5763,0.9084,1.2108,0.4384,-0.0326,0.7776,60.1806,145.3872,279.3854,172.7639,195.7363,107.3113
952X326K410NXGAPE,PASS,0,A1_golden,660861757.7,A1,0.5762,0.9081,1.2103,0.4384,-0.0331,0.777,60.5257,145.504,279.2834,172.6592,195.4641,107.4833
952X326K410NXGAPE,PASS,0,A1_golden,660861815.8,A1,0.5762,0.908,1.209,0.4384,-0.0394,0.7773,60.2608,145.6773,279.4618,172.7698,195.6621,107.5407
622YA1Y09AKP53GN4,PASS,0,A1_golden,660861888.5,A1,0.5771,0.9092,1.2121,0.4391,-0.0291,0.7784,59.7624,144.7061,280.6085,172.269,195.5631,107.9866
622YA1Y09AKP53GN4,PASS,0,A1_golden,660861946.7,A1,0.577,0.9092,1.2111,0.4391,-0.0373,0.7791,59.8914,144.6815,280.4811,172.5306,195.9837,107.9293
622YA1Y09AKP53GN4,PASS,0,A1_golden,660862005.5,A1,0.577,0.9093,1.212,0.4391,-0.0434,0.7799,60.523,144.5356,280.3537,172.6062,195.9961,107.9102
56NG10P2639A42Y2K,PASS,0,A1_golden,660862078.7,A1,0.5765,0.9089,1.212,0.4387,-0.0461,0.7779,59.2749,142.4397,277.3978,169.6814,194.2765,106.7698
56NG10P2639A42Y2K,PASS,0,A1_golden,660862136.4,A1,0.5764,0.9087,1.2115,0.4387,-0.0206,0.7784,59.4953,142.2895,277.3978,169.2489,194.4744,106.9164
56NG10P2639A42Y2K,PASS,0,A1_golden,660862194.5,A1,0.5764,0.9086,1.2103,0.4387,-0.0379,0.7797,59.2689,142.261,277.2194,169.5262,194.4002,106.9355
90NY216PKA6G35422,PASS,0,A1_golden,660862267.6,A1,0.5764,0.9084,1.2113,0.4385,-0.0364,0.7781,58.9589,141.8986,274.9515,167.9682,193.0889,106.1519
90NY216PKA6G35422,PASS,0,A1_golden,660862326.1,A1,0.5763,0.9083,1.2113,0.4385,-0.0306,0.7779,59.3359,142.0086,275.0534,168.7093,193.1631,106.2602
90NY216PKA6G35422,PASS,0,A1_golden,660862384.3,A1,0.5763,0.9083,1.2114,0.4384,-0.0404,0.7799,59.5411,141.725,275.1553,168.1356,193.5219,106.2857
K3Y0DN1A5G62X924P,PASS,0,A1_golden,660862458.9,A1,0.5765,0.9076,1.2112,0.4386,-0.0297,0.7786,59.7176,144.2303,276.3275,171.7443,194.1157,106.5724
K3Y0DN1A5G62X924P,PASS,0,A1_golden,660862517,A1,0.5764,0.9073,1.2118,0.4386,-0.0367,0.7778,60.2586,144.6013,276.5314,172.0408,194.2146,106.4067
K3Y0DN1A5G62X924P,PASS,0,A1_golden,660862574.9,A1,0.5764,0.9072,1.2094,0.4386,-0.0328,0.7788,59.9129,144.1684,276.6333,171.3864,194.2889,106.343
9PN5W03E0KAG62142,PASS,0,A1_golden,660862647.4,A1,0.5763,0.9063,1.2085,0.4384,-0.0366,0.778,59.0503,142.1197,276.3275,168.934,194.4497,106.4768
9PN5W03E0KAG62142,PASS,0,A1_golden,660862705.3,A1,0.5763,0.9062,1.2119,0.4384,-0.0323,0.7777,59.2575,142.3337,276.5314,169.1049,194.561,106.5405
9PN5W03E0KAG62142,PASS,0,A1_golden,660862764.1,A1,0.5762,0.9061,1.2101,0.4384,-0.0498,0.7778,59.3215,142.4679,276.5823,169.1843,194.4373,106.5087
59G04D18PN3Q2269K,PASS,0,A1_golden,660862837.3,A1,0.5773,0.9166,1.2169,0.4396,-0.0434,0.7785,60.2482,144.3017,279.6657,171.7196,196.2311,107.3942
59G04D18PN3Q2269K,PASS,0,A1_golden,660862895.4,A1,0.5772,0.9162,1.2184,0.4395,-0.0456,0.7778,60.356,144.3853,279.5382,171.7758,196.3054,108.0057
59G04D18PN3Q2269K,PASS,0,A1_golden,660862954.1,A1,0.5772,0.9161,1.2167,0.4395,-0.0455,0.7794,59.9564,144.3439,279.3089,171.7873,196.2435,107.7254
X16Q23GK29M54A0NP,PASS,0,A1_golden,660863027.3,A1,0.5762,0.9076,1.2104,0.4384,-0.033,0.7782,60.1191,143.9597,280.0224,172.3107,195.9095,107.7509
X16Q23GK29M54A0NP,PASS,0,A1_golden,660863085.2,A1,0.5761,0.9075,1.2095,0.4384,-0.0256,0.7769,60.3803,143.8853,279.7166,172.2226,196.0332,107.4961
X16Q23GK29M54A0NP,PASS,0,A1_golden,660863143.3,A1,0.5761,0.9073,1.2097,0.4383,-0.0458,0.7779,60.1691,143.9546,279.7931,172.6957,196.2806,107.6617
6293UN0G952BKP41A,PASS,0,A1_golden,660863215.8,A1,0.5766,0.9229,1.209,0.439,-0.04,0.7775,61.4703,146.7655,280.532,174.638,196.6889,108.1523
6293UN0G952BKP41A,PASS,0,A1_golden,660863274.6,A1,0.5765,0.9226,1.2081,0.4389,-0.0369,0.7793,61.3831,146.3233,280.6849,175.1485,196.9858,107.8911
6293UN0G952BKP41A,PASS,0,A1_golden,660863332.8,A1,0.5764,0.9225,1.2098,0.4389,-0.0305,0.7782,61.3819,146.7194,280.583,175.4015,196.8868,108.1395
2DAGKN59210143WP6,PASS,0,A1_golden,660863405.1,A1,0.5763,0.9061,1.2098,0.4385,-0.0409,0.7779,60.0516,144.7557,278.4425,172.648,195.6621,107.5662
2DAGKN59210143WP6,PASS,0,A1_golden,660863463.7,A1,0.5762,0.9058,1.2119,0.4384,-0.0323,0.7789,60.4715,144.8993,278.519,173.1503,195.5136,107.3432
2DAGKN59210143WP6,PASS,0,A1_golden,660863522,A1,0.5762,0.9059,1.2081,0.4384,-0.0264,0.7788,60.0511,144.5875,278.7738,172.911,195.5136,107.5152
2P62N9AG45301XVKL,PASS,0,A1_golden,660863594.6,A1,0.5766,0.907,1.2123,0.4386,-0.0303,0.7777,60.4152,144.3722,277.4997,173.4719,194.9569,107.0056
2P62N9AG45301XVKL,PASS,0,A1_golden,660863652.2,A1,0.5764,0.9068,1.2125,0.4385,-0.0356,0.7776,60.2408,144.6867,277.4997,173.1533,194.9569,106.8144
2P62N9AG45301XVKL,PASS,0,A1_golden,660863710.5,A1,0.5764,0.9069,1.2127,0.4385,-0.0325,0.7779,60.2212,144.5119,277.7545,172.6904,194.8703,106.8973
P903K46G09125DY2N,PASS,0,A1_golden,660863783.4,A1,0.5764,0.9204,1.213,0.4389,-0.0493,0.7784,60.5295,145.1374,281.0672,173.008,196.8992,107.8146
P903K46G09125DY2N,PASS,0,A1_golden,660863842,A1,0.5763,0.9201,1.213,0.4389,-0.0362,0.7782,60.8427,145.2553,281.0417,173.1612,197.3569,108.0567
P903K46G09125DY2N,PASS,0,A1_golden,660863899.8,A1,0.5763,0.92,1.2129,0.4388,-0.0327,0.7777,60.7908,145.49,280.7359,173.1274,196.5033,107.9802
P095VG9B6K291243N,PASS,0,A1_golden,660863972.4,A1,0.5768,0.9233,1.2099,0.4392,-0.0325,0.7802,61.6788,148.7287,310.7028,177.2362,210.7796,116.3384
P095VG9B6K291243N,PASS,0,A1_golden,660864030.1,A1,0.5767,0.9231,1.2128,0.4391,-0.0299,0.7785,61.4488,148.8726,311.2889,176.6704,210.8167,116.7588
P095VG9B6K291243N,PASS,0,A1_golden,660864088.1,A1,0.5767,0.9231,1.2133,0.4391,-0.0436,0.7799,61.9533,149.2576,311.136,177.0025,211.3116,116.8098
K65P3GW2N2C4910A2,PASS,0,A1_golden,660864160.9,A1,0.5763,0.9066,1.2119,0.4385,-0.0414,0.7795,60.1938,144.8956,278.9267,172.6192,195.3033,107.6808
K65P3GW2N2C4910A2,PASS,0,A1_golden,660864219.8,A1,0.5762,0.9064,1.2076,0.4384,-0.0327,0.7781,60.002,144.8083,278.7993,172.6771,195.3157,107.4133
K65P3GW2N2C4910A2,PASS,0,A1_golden,660864277.2,A1,0.5762,0.9063,1.2085,0.4384,-0.0254,0.7776,60.1358,144.4982,279.207,172.3865,195.5631,107.4388
5214KGYKV2A096P3N,PASS,0,A1_golden,660864351.1,A1,0.5764,0.906,1.2103,0.4385,-0.0306,0.7783,60.6082,144.9131,277.7035,174.1441,195.0806,106.8973
5214KGYKV2A096P3N,PASS,0,A1_golden,660864409.8,A1,0.5763,0.9057,1.2075,0.4384,-0.0422,0.7789,60.4675,145.0942,278.1112,173.8352,195.2414,106.961
5214KGYKV2A096P3N,PASS,0,A1_golden,660864467.5,A1,0.5762,0.9056,1.2068,0.4384,-0.0277,0.7796,60.3008,145.013,277.6016,173.7128,195.3157,106.9928
Z652P1K4D9NZ23G09,PASS,0,A1_golden,660864540.5,A1,0.5766,0.9203,1.2089,0.439,-0.0205,0.7788,59.7125,144.283,282.698,171.2834,198.6435,108.9422
Z652P1K4D9NZ23G09,PASS,0,A1_golden,660864598.7,A1,0.5765,0.9199,1.2076,0.439,-0.0301,0.7801,60.465,144.2958,282.5451,171.7902,198.5445,109.1333
Z652P1K4D9NZ23G09,PASS,0,A1_golden,660864656.6,A1,0.5765,0.92,1.2072,0.439,-0.0357,0.7781,60.0773,144.0277,283.0293,171.4476,198.8786,108.904
N23KG99542X7P16B0,PASS,0,A1_golden,660864729.1,A1,0.5765,0.9218,1.2088,0.439,-0.0295,0.7781,60.3979,145.3624,282.749,173.4762,197.592,108.4389
N23KG99542X7P16B0,PASS,0,A1_golden,660864788,A1,0.5764,0.9214,1.2089,0.4389,-0.0395,0.7764,60.4896,145.1792,282.4942,173.6203,197.4806,108.509
N23KG99542X7P16B0,PASS,0,A1_golden,660864845.9,A1,0.5764,0.9215,1.2086,0.4389,-0.0355,0.7799,60.5339,144.9432,282.4177,173.0511,197.728,108.5409
6BAWG2193NK4523P0,PASS,0,A1_golden,660864918.9,A1,0.5762,0.9071,1.2076,0.4385,-0.0287,0.7793,60.3682,145.4352,286.4184,174.7779,199.8806,109.9487
6BAWG2193NK4523P0,PASS,0,A1_golden,660864977.1,A1,0.5761,0.9073,1.2076,0.4384,-0.0306,0.7794,60.6118,145.3426,286.8771,175.1636,200.3384,110.1972
6BAWG2193NK4523P0,PASS,0,A1_golden,660865034.4,A1,0.5761,0.9072,1.2098,0.4384,-0.0405,0.7781,60.7636,145.1298,286.4948,174.6077,200.3136,110.2927
GK2ZAP4NV591J3620,PASS,0,A1_golden,660865107.1,A1,0.5763,0.9073,1.2115,0.4384,-0.0363,0.7779,59.6802,142.3312,279.5892,169.9924,195.3528,107.6235
GK2ZAP4NV591J3620,PASS,0,A1_golden,660865165.1,A1,0.5762,0.9071,1.2089,0.4383,-0.0325,0.781,59.8304,142.5176,279.3089,169.8514,195.427,107.5343
GK2ZAP4NV591J3620,PASS,0,A1_golden,660865223.4,A1,0.5761,0.9071,1.209,0.4383,-0.0375,0.779,59.6226,142.3546,279.2834,169.7688,195.625,107.4706
453NPK269GVA210VN,PASS,0,A1_golden,660865296.7,A1,0.5761,0.9074,1.2087,0.4384,-0.0415,0.7787,60.2131,143.2362,276.5314,171.5304,193.7198,106.3876
453NPK269GVA210VN,PASS,0,A1_golden,660865354.3,A1,0.576,0.9074,1.2113,0.4383,-0.0341,0.7786,60.2486,143.268,276.7352,172.0209,193.5837,106.0627
453NPK269GVA210VN,PASS,0,A1_golden,660865412.5,A1,0.576,0.9072,1.2072,0.4383,-0.0315,0.7787,60.1259,143.5336,276.7097,171.6396,193.3858,106.4832
92065DGNW932P142K,PASS,0,A1_golden,660865484.7,A1,0.5767,0.9185,1.2095,0.439,-0.0417,0.7786,60.6685,144.8328,279.4363,172.039,195.4889,107.426
92065DGNW932P142K,PASS,0,A1_golden,660865542.9,A1,0.5766,0.9183,1.2099,0.439,-0.0388,0.7762,59.8318,144.8776,279.3854,172.8757,195.3528,107.4515
92065DGNW932P142K,PASS,0,A1_golden,660865601.1,A1,0.5766,0.9183,1.2105,0.4389,-0.0443,0.7775,60.6264,144.7349,279.3854,172.5938,195.5878,107.5789
722NA57GP0936WK14,PASS,0,A1_golden,660865674.3,A1,0.5759,0.9067,1.2104,0.4385,-0.0274,0.7776,60.5823,145.6137,279.2834,172.9473,196.194,107.7254
722NA57GP0936WK14,PASS,0,A1_golden,660865732.3,A1,0.5758,0.9066,1.2112,0.4385,-0.0323,0.7789,60.5993,145.4085,279.1815,173.3517,196.1445,107.5853
722NA57GP0936WK14,PASS,0,A1_golden,660865790.2,A1,0.5757,0.9066,1.2108,0.4385,-0.04,0.7775,60.822,145.343,279.2325,173.0823,196.3672,107.8592
A9224BPW1NG3K5630,PASS,0,A1_golden,660865863.8,A1,0.5758,0.9077,1.2101,0.4385,-0.0323,0.7791,61.2513,146.1071,279.7166,174.154,196.0085,107.9357
A9224BPW1NG3K5630,PASS,0,A1_golden,660865922.2,A1,0.5757,0.9076,1.2109,0.4384,-0.0349,0.7789,60.3586,145.7447,279.8185,174.3896,195.761,107.9611
A9224BPW1NG3K5630,PASS,0,A1_golden,660865979.4,A1,0.5757,0.9074,1.2079,0.4384,-0.0219,0.779,61.0386,146.0893,279.9714,174.3832,196.0579,107.8337
N1K552G49942603LP,PASS,0,A1_golden,660866052.7,A1,0.576,0.9151,1.2104,0.4386,-0.0319,0.7802,60.8232,145.3172,286.6732,172.9996,199.8188,109.9933
N1K552G49942603LP,PASS,0,A1_golden,660866109.7,A1,0.5759,0.9148,1.2086,0.4385,-0.0333,0.7776,60.3007,145.0255,286.5458,172.9139,199.9054,110.331
N1K552G49942603LP,PASS,0,A1_golden,660866168.1,A1,0.5759,0.9147,1.2078,0.4385,-0.0355,0.777,60.3596,145.1138,286.8771,173.0492,199.8683,110.0252
K02P3G699562YB1N4,PASS,0,A1_golden,660866243.4,A1,0.5765,0.9223,1.2089,0.4389,-0.0379,0.7772,61.0966,146.1511,277.2958,174.3784,195.2414,107.0438
K02P3G699562YB1N4,PASS,0,A1_golden,660866300.9,A1,0.5763,0.922,1.2101,0.4388,-0.037,0.7789,60.968,146.4598,277.2194,174.0423,194.9693,107.0693
K02P3G699562YB1N4,PASS,0,A1_golden,660866359.4,A1,0.5763,0.9221,1.21,0.4388,-0.031,0.7763,61.1904,146.0733,277.0155,173.9321,195.4394,107.0119
NG16PKW964528A023,PASS,0,A1_golden,660866432.6,A1,0.576,0.9072,1.2075,0.4384,-0.0358,0.779,61.47,149.174,287.1574,178.6457,199.7198,110.1972
NG16PKW964528A023,PASS,0,A1_golden,660866490.2,A1,0.5759,0.907,1.2113,0.4383,-0.034,0.7775,61.5102,149.0672,286.7242,178.5075,199.6951,109.8277
NG16PKW964528A023,PASS,0,A1_golden,660866547.9,A1,0.5759,0.9067,1.2117,0.4383,-0.0232,0.7792,61.6012,149.3094,286.5458,178.7536,199.9549,109.7003
A242W194KA60G5N3P,PASS,0,A1_golden,660866620.9,A1,0.576,0.9076,1.2096,0.4386,-0.0288,0.7788,60.3002,144.3485,280.4556,172.9601,196.5157,107.6299
A242W194KA60G5N3P,PASS,0,A1_golden,660866679.2,A1,0.5759,0.9074,1.2115,0.4386,-0.0286,0.7788,60.3428,144.6975,280.8378,172.8368,196.2806,108.0248
A242W194KA60G5N3P,PASS,0,A1_golden,660866736.9,A1,0.5759,0.907,1.2105,0.4386,-0.037,0.7791,60.2571,144.6612,280.5066,172.9533,196.7878,108.0758
5N1GKAP92W6E20304,PASS,0,A1_golden,660866810.3,A1,0.576,0.9082,1.211,0.4386,-0.0291,0.7784,58.9907,141.4437,270.1863,167.2506,190.5033,103.8458
5N1GKAP92W6E20304,PASS,0,A1_golden,660866868.5,A1,0.5759,0.9082,1.2094,0.4385,-0.036,0.7786,58.6383,141.2521,270.4157,167.4922,190.726,103.7375
5N1GKAP92W6E20304,PASS,0,A1_golden,660866926.2,A1,0.5759,0.908,1.21,0.4385,-0.0451,0.7785,59.2858,141.6003,270.2118,167.1622,190.6765,103.763
P4GW63AN1502WK29J,PASS,0,A1_golden,660866998.7,A1,0.5777,0.9084,1.2109,0.4405,-0.0227,0.7778,59.842,143.3191,276.302,171.5368,193.5219,106.3685
P4GW63AN1502WK29J,PASS,0,A1_golden,660867056.6,A1,0.5776,0.9081,1.2101,0.4404,-0.0355,0.7769,59.7804,143.3581,276.5823,172.0737,193.1507,106.4832
P4GW63AN1502WK29J,PASS,0,A1_golden,660867114.5,A1,0.5776,0.9084,1.2114,0.4404,-0.0312,0.7783,59.6587,143.1529,276.4294,171.698,193.3239,106.6361
9G0145KN3W6A22P59,PASS,0,A1_golden,660867187.7,A1,0.5763,0.907,1.2101,0.4385,-0.027,0.7789,60.684,146.1667,282.749,173.4707,197.926,108.7447
9G0145KN3W6A22P59,PASS,0,A1_golden,660867245.7,A1,0.5762,0.9069,1.2099,0.4385,-0.0316,0.7789,60.4804,145.9027,282.7745,173.5066,197.8518,108.63
9G0145KN3W6A22P59,PASS,0,A1_golden,660867303.9,A1,0.5761,0.9071,1.2098,0.4384,-0.033,0.7771,60.7925,146.1128,283.0803,173.5305,197.8889,108.7001
452NP3K9G5A2W0196,PASS,0,A1_golden,660867376.9,A1,0.576,0.9075,1.2123,0.4386,-0.0425,0.7776,60.9685,146.1863,282.3158,174.6939,196.4662,108.509
452NP3K9G5A2W0196,PASS,0,A1_golden,660867435.2,A1,0.5759,0.9076,1.2092,0.4385,-0.0307,0.779,60.9594,146.0684,281.959,174.8916,196.627,108.0822
452NP3K9G5A2W0196,PASS,0,A1_golden,660867493.6,A1,0.5759,0.9073,1.211,0.4385,-0.035,0.7794,60.8834,146.4235,282.3668,175.1016,196.5528,108.4771
G5AWP29102N43D6K1,PASS,0,A1_golden,660867567,A1,0.5761,0.9087,1.212,0.4385,-0.0405,0.7788,60.1383,144.4861,276.404,172.9801,193.2126,106.3876
G5AWP29102N43D6K1,PASS,0,A1_golden,660867625.5,A1,0.5759,0.9087,1.2121,0.4385,-0.0257,0.7794,60.1138,144.6245,276.4804,172.2129,193.1507,106.4322
G5AWP29102N43D6K1,PASS,0,A1_golden,660867683.4,A1,0.5759,0.9085,1.212,0.4384,-0.0332,0.778,59.7884,144.4196,276.3785,172.4647,193.0641,106.4895
XGKA45W3P12902H6N,PASS,0,A1_golden,660867756.1,A1,0.5775,0.9082,1.2117,0.4405,-0.0306,0.7775,60.36,145.4425,276.1491,173.5797,193.0023,106.5405
XGKA45W3P12902H6N,PASS,0,A1_golden,660867814.1,A1,0.5774,0.9081,1.2124,0.4405,-0.0297,0.7787,60.3601,145.0394,276.2765,173.7118,193.1012,106.2284
XGKA45W3P12902H6N,PASS,0,A1_golden,660867871.8,A1,0.5773,0.9082,1.2115,0.4404,-0.0256,0.777,60.2662,145.1894,275.6395,173.2953,193.1755,106.6106
1240K02693PC591NG,PASS,0,A1_golden,660867944.6,A1,0.5767,0.9244,1.21,0.439,-0.0284,0.7783,60.5888,145.3396,278.7738,173.1926,195.7858,107.5471
1240K02693PC591NG,PASS,0,A1_golden,660868002.1,A1,0.5766,0.9242,1.2112,0.439,-0.0304,0.7773,60.3741,144.8462,279.0031,173.2814,195.761,107.5279
1240K02693PC591NG,PASS,0,A1_golden,660868060.3,A1,0.5766,0.9241,1.2098,0.4389,-0.0477,0.7767,60.8157,145.0658,278.6209,172.8561,196.0579,107.7063
CN396AK4251G0PW22,PASS,0,A1_golden,660868135.8,A1,0.5759,0.9077,1.2112,0.4385,-0.044,0.7792,60.4575,145.6744,277.3978,174.8328,194.425,106.7826
CN396AK4251G0PW22,PASS,0,A1_golden,660868193.9,A1,0.5758,0.9075,1.2109,0.4385,-0.0312,0.778,60.6788,145.5198,277.5506,173.8726,194.4744,106.9546
CN396AK4251G0PW22,PASS,0,A1_golden,660868252,A1,0.5757,0.9077,1.2095,0.4384,-0.0228,0.7774,60.801,145.609,277.78,174.0618,194.6353,106.6998
23G6A5G1NKW9402PY,PASS,0,A1_golden,660868324.8,A1,0.576,0.9081,1.2108,0.4385,-0.0297,0.7771,59.5762,144.242,275.7159,171.7011,192.928,106.0245
23G6A5G1NKW9402PY,PASS,0,A1_golden,660868382.7,A1,0.5759,0.908,1.2111,0.4384,-0.0351,0.78,59.8773,144.0075,275.8688,171.1353,193.1755,105.9926
23G6A5G1NKW9402PY,PASS,0,A1_golden,660868440.9,A1,0.5758,0.9078,1.2112,0.4384,-0.0246,0.7789,60.2596,143.9705,275.7669,171.908,193.5713,106.0309
KA4G561N30PWY2G92,PASS,0,A1_golden,660868514.6,A1,0.5776,0.9075,1.2115,0.4405,-0.0276,0.7789,59.6083,143.5984,278.2641,172.0729,194.5115,107.2158
KA4G561N30PWY2G92,PASS,0,A1_golden,660868572.4,A1,0.5775,0.9075,1.2111,0.4404,-0.042,0.7788,59.8904,143.6113,278.3406,171.7114,194.6847,107.2667
KA4G561N30PWY2G92,PASS,0,A1_golden,660868631.1,A1,0.5775,0.9074,1.2101,0.4404,-0.0449,0.7782,60.2377,143.9273,278.3916,171.8863,194.9817,107.3878
02NUAW23K15P9G6L4,PASS,0,A1_golden,660868704.3,A1,0.5773,0.9079,1.2104,0.4398,-0.0355,0.7777,60.0958,144.91,276.1491,172.7767,193.4105,106.6424
02NUAW23K15P9G6L4,PASS,0,A1_golden,660868762.3,A1,0.5771,0.9075,1.211,0.4398,-0.0284,0.7781,60.6903,145.2648,275.8179,172.8551,193.3981,106.3367
02NUAW23K15P9G6L4,PASS,0,A1_golden,660868820.5,A1,0.5771,0.9076,1.2105,0.4397,-0.0363,0.7794,60.693,145.0624,276.0727,172.7743,193.3239,106.394
16CNY334P02GK9295,PASS,0,A1_golden,660868894.2,A1,0.5766,0.9241,1.2098,0.4388,-0.0358,0.7783,60.2418,144.2331,279.5892,171.8255,196.6889,107.7254
16CNY334P02GK9295,PASS,0,A1_golden,660868952.4,A1,0.5765,0.924,1.2111,0.4388,-0.0337,0.7769,60.1368,144.6372,279.8185,172.11,196.4291,107.993
16CNY334P02GK9295,PASS,0,A1_golden,660869010.9,A1,0.5765,0.9238,1.2109,0.4387,-0.0366,0.7781,60.6817,144.5582,279.7676,172.5524,196.7012,107.77
215N1P4G0A6K39XA2,PASS,0,A1_golden,660869084.4,A1,0.576,0.9069,1.2114,0.4385,-0.0355,0.7792,59.4672,143.1551,281.6533,170.3771,197.4064,108.4007
215N1P4G0A6K39XA2,PASS,0,A1_golden,660869142.8,A1,0.5759,0.9067,1.2089,0.4384,-0.03,0.7791,60.0565,142.8266,281.0927,170.0173,198.025,108.3434
215N1P4G0A6K39XA2,PASS,0,A1_golden,660869200.9,A1,0.5759,0.9067,1.2094,0.4384,-0.0414,0.7776,59.4077,143.0393,281.5513,170.8906,197.7652,108.3943
6KG96AN42S3PQ1502,PASS,0,A1_golden,660869274.6,A1,0.5773,0.9038,1.2094,0.4402,-0.044,0.7787,57.8791,137.8851,272.8874,165.629,192.2353,105.4894
6KG96AN42S3PQ1502,PASS,0,A1_golden,660869332,A1,0.5772,0.9037,1.209,0.4401,-0.0399,0.7791,57.7823,137.6861,272.6326,165.8612,192.3095,105.2537
6KG96AN42S3PQ1502,PASS,0,A1_golden,660869389.7,A1,0.5772,0.9037,1.2106,0.4401,-0.0313,0.7794,57.8208,137.7133,272.5562,166.1334,192.4332,105.26
